text,grade,image,video,time
"",初三,brss2026/brss1.png,,2026-03-30
"",初三,brss2026/brss2.png,,2026-03-30
"",初三,brss2026/brss3.png,,2026-03-30
"",初三,brss2026/brss4.png,,2026-03-30
"",初三,brss2026/brss5.png,,2026-03-30
"",初三,brss2026/brss6.png,,2026-03-30
"",初三,brss2026/brss7.png,,2026-03-30
"",初三,brss2026/brss8.png,,2026-03-30
"",初三,brss2026/brss9.png,,2026-03-30
"",初三,brss2026/brss10.png,,2026-03-30
"",初三,brss2026/brss11.png,,2026-03-30
"",初三,brss2026/brss12.png,,2026-03-30
"",初三,brss2026/brss13.png,,2026-03-30
"",初三,brss2026/brss14.png,,2026-03-30
"",初三,brss2026/brss15.png,,2026-03-30
"",初三,brss2026/brss16.png,,2026-03-30
"",初三,brss2026/brss17.png,,2026-03-30
"",初三,brss2026/brss18.png,,2026-03-30
"",初三,brss2026/brss19.png,,2026-03-30
"",初三,brss2026/brss20.png,,2026-03-30
"",初三,brss2026/brss21.png,,2026-03-30
"",初三,brss2026/brss22.png,,2026-03-30
"",初三,brss2026/brss23.png,,2026-03-30
"",初三,brss2026/brss24.png,,2026-03-30
"",初二,goodclass.jpg,,2026-03-24
"请注意以下关于眼保健操的管理提醒：
（1）每天第3节课后、第6节课后，在室内上课的学生要以学校广播为准做眼保健操，上课老师在室内检查督促；
（2）年级学生干部分楼层检查评价各班眼保健操开展情况；
（3）各班安排2名学生在眼保健操期间做好教室内外、楼梯平台等处的保洁，以捡拾垃圾为主。",初二,,,2026-03-24
